9_sc1	KY385423.1	93.500	5815	358	16	38321	44119	38284	44094	0.0	8626
9_sc1	KY385423.1	80.250	9104	1658	122	27118	36151	27832	36865	0.0	6722
9_sc1	KY385423.1	94.182	3180	183	2	21291	24469	21508	24686	0.0	4846
9_sc1	KY385423.1	88.620	3181	324	25	3524	6691	3281	6436	0.0	3834
9_sc1	KY385423.1	91.611	2396	196	5	24461	26853	25153	27546	0.0	3306
9_sc1	KY385423.1	89.220	2616	268	13	18674	21282	18543	21151	0.0	3256
9_sc1	KY385423.1	94.637	1958	103	2	12669	14625	12769	14725	0.0	3033
9_sc1	KY385423.1	93.348	1849	121	2	10742	12589	10779	12626	0.0	2732
9_sc1	KY385423.1	92.599	1878	135	4	15316	17191	15298	17173	0.0	2695
9_sc1	KY385423.1	93.810	1664	100	3	8114	9775	7823	9485	0.0	2499
9_sc1	KY385423.1	92.910	1340	86	5	1576	2907	1577	2915	0.0	1940
9_sc1	KY385423.1	93.544	790	51	0	7117	7906	7050	7839	0.0	1177
9_sc1	KY385423.1	87.813	878	103	4	9792	10667	9790	10665	0.0	1026
9_sc1	KY385423.1	91.886	456	24	5	755	1210	749	1191	1.15e-179	625
9_sc1	KY385423.1	84.444	405	34	13	167	571	169	544	1.65e-103	372
9_sc1	KY385423.1	91.623	191	16	0	3165	3355	2928	3118	2.88e-71	265
9_sc1	KY385423.1	90.972	144	11	1	3	146	49	190	1.38e-49	193
9_sc1	KY385423.1	88.991	109	10	2	17763	17870	17976	18083	8.48e-32	134
