NC_028870	4-2_sc1	94.586	17878	945	18	18330	36196	18998	36863	0.0	27630
NC_028870	4-2_sc1	94.745	3939	204	3	36256	40193	38652	42588	0.0	6124
NC_028870	4-2_sc1	93.446	3799	231	16	9641	13430	10323	14112	0.0	5620
NC_028870	4-2_sc1	91.536	3627	276	23	3128	6739	3383	6993	0.0	4968
NC_028870	4-2_sc1	95.840	2476	102	1	6955	9430	7147	9621	0.0	4000
NC_028870	4-2_sc1	89.120	2408	223	22	13460	15840	14227	16622	0.0	2959
NC_028870	4-2_sc1	94.144	1332	78	0	1438	2769	1446	2777	0.0	2028
NC_028870	4-2_sc1	96.743	1136	37	0	15982	17117	16767	17902	0.0	1893
NC_028870	4-2_sc1	97.816	412	8	1	17125	17536	18138	18548	0.0	710
NC_028870	4-2_sc1	82.959	534	37	26	112	631	196	689	7.49e-122	433
NC_028870	4-2_sc1	87.649	251	21	5	673	922	774	1015	7.98e-77	283
NC_028870	4-2_sc1	91.237	194	15	1	2779	2972	3034	3225	1.04e-70	263
NC_028870	4-2_sc1	87.826	115	12	2	7	120	39	152	8.51e-32	134
NC_028870	4-2_sc1	93.750	80	1	3	41948	42025	44720	44797	8.57e-27	117
